Street,STNAME
Blue Grass Rd,BLUE GRASS RD
Northeast Blvd,NORTHEAST BLVD
Benton Ave,BENTON AVE
Elbridge St,ELBRIDGE ST
Red Lion Rd,RED LION RD
State Rd,STATE RD
Adams Ave,ADAMS AVE
Whitaker Ave,WHITAKER AVE
Kelly Dr,KELLY DR
Midvale Ave,MIDVALE AVE
Lincoln Drive ramp e,LINCOLN DRIVE RAMP E
City Ave ramp c,CITY AVE RAMP C
Belmont Ave,BELMONT AVE
North Broad St,NORTH BROAD ST
South Broad St,SOUTH BROAD ST
Upland Way,UPLAND WAY
e Northwestern Ave,E NORTHWESTERN AVE
Vare Ave,VARE AVE
Warfield St,WARFIELD ST
Crescentville Rd,CRESCENTVILLE RD
Lindbergh Blvd,LINDBERGH BLVD
Enterprise Ave,ENTERPRISE AVE
Bartram Ave,BARTRAM AVE
Townsend Rd,TOWNSEND RD
Callowhill St,CALLOWHILL ST
Essington Ave,ESSINGTON AVE
Benjamin Franklin Pkwy,BENJAMIN FRANKLIN PKWY
Benjamin Franklin Pkwy,BENJAMIN FRANKLIN PKWY
Martin Luther King Dr,MARTIN LUTHER KING DR
n 20Th St,N 20TH ST
Cresheim Valley Dr,CRESHEIM VALLEY DR
Cresheim Valley Dr,CRESHEIM VALLEY DR
Kelly Drive Ramp,KELLY DRIVE RAMP
Spring Garden St,SPRING GARDEN ST
S Front St,S FRONT ST
Island Ave,ISLAND AVE
Island Ave,ISLAND AVE
Island Ave,ISLAND AVE
Pattison Ave,PATTISON AVE
Marshall Rd,MARSHALL RD
Milnor St,MILNOR ST
Southampton Rd,SOUTHAMPTON RD
Mc Nulty Rd,MC NULTY RD
Green Ln,GREEN LN
N Delaware Ave,N DELAWARE AVE
N Delaware Ave,N DELAWARE AVE
Eastwick Ave,EASTWICK AVE
Thornton Rd,THORNTON RD
Ridge Ave Ramp J,RIDGE AVE RAMP J
Lewis St,LEWIS ST
Grays Ferry Ave,GRAYS FERRY AVE
Barnett St,BARNETT ST
Holstein Ave,HOLSTEIN AVE
Hagys Mill Rd,HAGYS MILL RD
S 61st St ,S 61ST ST 
Ritner St,RITNER ST
Norcom Rd,NORCOM RD
Decatur Rd,DECATUR RD
Drummond Rd,DRUMMOND RD
Darnell Rd,DARNELL RD
Dutton Rd,DUTTON RD
s Christopher Columbus Blvd,S CHRISTOPHER COLUMBUS BLVD
